,Sentence #,Word,POS,Tag
0,Sentence: 0,День,NOUN,O
1,Sentence: 0,8-го,ADJ,O
2,Sentence: 0,марта,NOUN,O
3,Sentence: 0,прошёл,VERB,O
4,Sentence: 0,",",PUNCT,O
5,Sentence: 0,можно,ADV,O
6,Sentence: 0,и,PART,O
7,Sentence: 0,итоги,NOUN,O
8,Sentence: 0,подвести,VERB,O
9,Sentence: 0,.,PUNCT,O
10,Sentence: 0,Решил,VERB,O
11,Sentence: 0,написать,VERB,O
12,Sentence: 0,отзыв,NOUN,O
13,Sentence: 0,о,ADP,O
14,Sentence: 0,ресторане,NOUN,B-Whole
15,Sentence: 0,в,ADP,O
16,Sentence: 0,котором,PRON,O
17,Sentence: 0,отметили,VERB,O
18,Sentence: 0,прекрасный,ADJ,O
19,Sentence: 0,весений,NOUN,O
20,Sentence: 0,праздник,NOUN,O
21,Sentence: 0,",",PUNCT,O
22,Sentence: 0,прочитал,VERB,O
23,Sentence: 0,отзывы,NOUN,O
24,Sentence: 0,edik077,PROPN,O
25,Sentence: 0,и,CCONJ,O
26,Sentence: 0,Rules77777и,PROPN,O
27,Sentence: 0,понял,VERB,O
28,Sentence: 0,что,SCONJ,O
29,Sentence: 0,либо,CCONJ,O
30,Sentence: 0,мы,PRON,O
31,Sentence: 0,были,AUX,O
32,Sentence: 0,вразных,ADJ,O
33,Sentence: 0,ресторанах,NOUN,B-Whole
34,Sentence: 0,",",PUNCT,O
35,Sentence: 0,либо,CCONJ,O
36,Sentence: 0,у,ADP,O
37,Sentence: 0,ребят,NOUN,O
38,Sentence: 0,что-то,PRON,O
39,Sentence: 0,незаладилось,VERB,O
40,Sentence: 0,.,PUNCT,O
41,Sentence: 0,Но,CCONJ,O
42,Sentence: 0,теперь,ADV,O
43,Sentence: 0,о,ADP,O
44,Sentence: 0,ресторане,NOUN,B-Whole
45,Sentence: 0,.,PUNCT,O
46,Sentence: 0,Столик,NOUN,B-Service
47,Sentence: 0,бронировали,VERB,I-Service
48,Sentence: 0,заранее,ADV,O
49,Sentence: 0,и,CCONJ,O
50,Sentence: 0,сделали,VERB,O
51,Sentence: 0,так,ADV,O
52,Sentence: 0,как,SCONJ,O
53,Sentence: 0,предложил,VERB,O
54,Sentence: 0,администратор,NOUN,B-Service
55,Sentence: 0,т.е.,PUNCT,O
56,Sentence: 0,сделали,VERB,O
57,Sentence: 0,предварительный,ADJ,B-Service
58,Sentence: 0,заказ,NOUN,I-Service
59,Sentence: 0,",",PUNCT,O
60,Sentence: 0,когда,SCONJ,O
61,Sentence: 0,придя,VERB,O
62,Sentence: 0,увидели,VERB,O
63,Sentence: 0,полностью,ADV,O
64,Sentence: 0,заполненый,VERB,O
65,Sentence: 0,ресторан,NOUN,B-Whole
66,Sentence: 0,поняли,VERB,O
67,Sentence: 0,что,SCONJ,O
68,Sentence: 0,совет,NOUN,O
69,Sentence: 0,нам,PRON,O
70,Sentence: 0,дали,VERB,O
71,Sentence: 0,действительно,ADV,O
72,Sentence: 0,правильный,ADJ,O
73,Sentence: 0,",",PUNCT,O
74,Sentence: 0,в,ADP,O
75,Sentence: 0,ресторане,NOUN,B-Whole
76,Sentence: 0,было,VERB,O
77,Sentence: 0,человек,NOUN,O
78,Sentence: 0,70,NUM,O
79,Sentence: 0,-,PUNCT,O
80,Sentence: 0,80,NUM,O
81,Sentence: 0,",",PUNCT,O
82,Sentence: 0,тут,ADV,O
83,Sentence: 0,действительно,ADV,O
84,Sentence: 0,горячее,ADJ,B-Food
85,Sentence: 0,блюдо,NOUN,I-Food
86,Sentence: 0,можно,ADV,O
87,Sentence: 0,ждать,VERB,O
88,Sentence: 0,весьма,ADV,O
89,Sentence: 0,долго,ADV,O
90,Sentence: 0,.,PUNCT,O
