,Sentence #,Word,POS,Tag
0,Sentence: 0,День,NOUN,O
1,,8-го,ADJ,O
2,,марта,NOUN,O
3,,прошёл,VERB,O
4,,",",PUNCT,O
5,,можно,ADV,O
6,,и,PART,O
7,,итоги,NOUN,O
8,,подвести,VERB,O
9,,.,PUNCT,O
10,,Решил,VERB,O
11,,написать,VERB,O
12,,отзыв,NOUN,O
13,,о,ADP,O
14,,ресторане,NOUN,B-Whole
15,,в,ADP,O
16,,котором,PRON,O
17,,отметили,VERB,O
18,,прекрасный,ADJ,O
19,,весений,NOUN,O
20,,праздник,NOUN,O
21,,",",PUNCT,O
22,,прочитал,VERB,O
23,,отзывы,NOUN,O
24,,edik077,PROPN,O
25,,и,CCONJ,O
26,,Rules77777и,PROPN,O
27,,понял,VERB,O
28,,что,SCONJ,O
29,,либо,CCONJ,O
30,,мы,PRON,O
31,,были,AUX,O
32,,вразных,ADJ,O
33,,ресторанах,NOUN,B-Whole
34,,",",PUNCT,O
35,,либо,CCONJ,O
36,,у,ADP,O
37,,ребят,NOUN,O
38,,что-то,PRON,O
39,,незаладилось,VERB,O
40,,.,PUNCT,O
41,,Но,CCONJ,O
42,,теперь,ADV,O
43,,о,ADP,O
44,,ресторане,NOUN,B-Whole
45,,.,PUNCT,O
46,,Столик,NOUN,O
47,,бронировали,VERB,O
48,,заранее,ADV,O
49,,и,CCONJ,O
50,,сделали,VERB,O
51,,так,ADV,O
52,,как,SCONJ,O
53,,предложил,VERB,O
54,,администратор,NOUN,B-Service
55,,т.е.,PUNCT,O
56,,сделали,VERB,O
57,,предварительный,ADJ,O
58,,заказ,NOUN,O
59,,",",PUNCT,O
60,,когда,SCONJ,O
61,,придя,VERB,O
62,,увидели,VERB,O
63,,полностью,ADV,O
64,,заполненый,VERB,O
65,,ресторан,NOUN,B-Whole
66,,поняли,VERB,O
67,,что,SCONJ,O
68,,совет,NOUN,O
69,,нам,PRON,O
70,,дали,VERB,O
71,,действительно,ADV,O
72,,правильный,ADJ,O
73,,",",PUNCT,O
74,,в,ADP,O
75,,ресторане,NOUN,B-Whole
76,,было,VERB,O
77,,человек,NOUN,O
78,,70,NUM,O
79,,-,PUNCT,O
80,,80,NUM,O
81,,",",PUNCT,O
82,,тут,ADV,O
83,,действительно,ADV,O
84,,горячее,ADJ,O
85,,блюдо,NOUN,O
86,,можно,ADV,O
87,,ждать,VERB,O
88,,весьма,ADV,O
89,,долго,ADV,O
90,,.,PUNCT,O
91,,Меню,NOUN,B-Food
92,,достаточно,ADV,O
93,,разнообразное,ADJ,O
94,,и,CCONJ,O
95,,весьма,ADV,O
96,,вкусное,ADJ,O
97,,",",PUNCT,O
98,,мне,PRON,O
99,,и,CCONJ,O
100,,моим,DET,O
101,,друзьям,NOUN,O
102,,понравилось,VERB,O
103,,всё,PRON,O
104,,что,PRON,O
105,,нам,PRON,O
106,,принесли,VERB,O
107,,",",PUNCT,O
108,,а,CCONJ,O
109,,принесли,VERB,O
110,,нам,PRON,O
111,,немало,ADV,O
112,,.,PUNCT,O
113,,Обслуживание,NOUN,B-Service
114,,может,VERB,O
115,,и,PART,O
116,,не,PART,O
117,,самое,ADJ,O
118,,лучьшее,ADJ,O
119,,в,ADP,O
120,,городе,NOUN,O
121,,",",PUNCT,O
122,,но,CCONJ,O
123,,официанты,NOUN,B-Service
124,,делали,VERB,O
125,,всё,PRON,O
126,,что,PRON,O
127,,нужно,ADJ,O
